center_hz,width_hz,sample_pos,level_db,time_sec
1005859.375,2275390.75,0,-77.44818115234375,0.0
998535.1875,2290039.0,8192,-73.9057846069336,0.0008192
1999511.75,2280273.5,49152,-72.49185180664062,0.0049152
2006836.0,2294922.0,73728,-81.4362564086914,0.0073728
1999511.75,2299804.5,81920,-73.37765502929688,0.008192
4882.875,2285156.25,90112,-71.55266571044922,0.0090112
1994628.875,2299804.75,106496,-73.29475402832031,0.0106496
998535.1875,2290039.0,122880,-72.8907241821289,0.012288
2001953.125,2314453.25,155648,-75.46430206298828,0.0155648
2001953.125,2285156.25,163840,-75.95647430419922,0.016384
1999511.75,2290039.0,188416,-72.4905776977539,0.0188416
-2441.375,2299804.75,204800,-71.98157501220703,0.02048
0.0,2294922.0,212992,-72.12294006347656,0.0212992
996093.75,2294922.0,229376,-76.55716705322266,0.0229376
983886.75,2309570.5,237568,-74.77386474609375,0.0237568
998535.125,2299804.75,245760,-74.90377807617188,0.024576
1999511.75,2290039.0,262144,-74.13945007324219,0.0262144
1997070.25,2294922.0,278528,-72.51161193847656,0.0278528
993652.375,2299804.75,319488,-76.22573852539062,0.0319488
1003418.0,2290039.0,327680,-74.686767578125,0.032768
2441.375,2299804.75,376832,-73.22303771972656,0.0376832
998535.1875,2290039.0,434176,-72.07915496826172,0.0434176
1000976.5625,2294922.0,450560,-73.0494155883789,0.045056
993652.375,2290039.25,532480,-72.15583038330078,0.053248
-2441.4375,2290039.0,557056,-72.17118835449219,0.0557056
4882.8125,2294922.0,565248,-73.39505767822266,0.0565248
-2441.375,2309570.25,573440,-77.91089630126953,0.057344
1997070.375,2285156.25,606208,-74.54068756103516,0.0606208
-4882.8125,2294922.0,622592,-71.81790924072266,0.0622592
2001953.125,2285156.25,638976,-75.4171142578125,0.0638976
1992187.5,2285156.0,647168,-71.61650085449219,0.0647168
2441.375,2299804.75,663552,-75.6808853149414,0.0663552
998535.1875,2290039.0,679936,-73.23782348632812,0.0679936
1010742.125,2294921.75,729088,-75.01150512695312,0.0729088
998535.25,2280273.5,737280,-75.86669158935547,0.073728
991210.875,2285156.25,745472,-75.4146499633789,0.0745472
-4882.875,2285156.25,761856,-74.8194580078125,0.0761856
-4882.8125,2294922.0,778240,-71.85829162597656,0.077824
0.0,2294922.0,819200,-74.6478042602539,0.08192
0.0,2294922.0,827392,-73.29173278808594,0.0827392
0.0,2294922.0,835584,-73.66118621826172,0.0835584
-2441.375,2299804.75,876544,-72.66009521484375,0.0876544
-2441.4375,2290039.0,892928,-79.14257049560547,0.0892928
996093.75,2294922.0,933888,-72.97395324707031,0.0933888
0.0,2167968.75,942080,-71.28809356689453,0.094208
1005859.375,2294921.75,950272,-73.93008422851562,0.0950272
0.0,2294922.0,1015808,-81.16527557373047,0.1015808
-2441.4375,2280273.5,1024000,-72.6926040649414,0.1024
1994628.875,2299804.75,1064960,-73.69699096679688,0.106496
-2441.4375,2290039.0,1081344,-79.71623229980469,0.1081344
2441.375,2221679.75,1089536,-72.95173645019531,0.1089536
1992187.5,2285156.0,1105920,-75.03118896484375,0.110592
998535.25,2280273.5,1122304,-71.96781158447266,0.1122304
-4882.8125,2294922.0,1130496,-72.69953918457031,0.1130496
1992187.5,2285156.0,1146880,-74.02494049072266,0.114688
991210.875,2285156.25,1171456,-78.91967010498047,0.1171456
1003418.0,2290039.0,1179648,-73.6126708984375,0.1179648
991211.0,2294922.0,1212416,-71.98239135742188,0.1212416
993652.375,2290039.25,1220608,-72.7369384765625,0.1220608
991210.875,2285156.25,1245184,-75.81729125976562,0.1245184
4882.75,2304687.5,1294336,-77.29749298095703,0.1294336
2001953.25,2304687.5,1368064,-72.57598876953125,0.1368064
2441.4375,2290039.0,1384448,-73.83262634277344,0.1384448
-14648.4375,2294922.0,1392640,-77.39433288574219,0.139264
2001953.125,2294921.75,1441792,-72.40804290771484,0.1441792
2001953.125,2294921.75,1466368,-72.4735107421875,0.1466368
1000976.5625,2119140.5,1474560,-73.05194854736328,0.147456
4882.75,2304687.5,1515520,-81.06523132324219,0.151552
-9765.625,2304687.5,1523712,-72.99746704101562,0.1523712
1000976.625,2285156.25,1572864,-74.91580200195312,0.1572864
-2441.4375,2280273.5,1589248,-73.05626678466797,0.1589248
0.0,2294922.0,1597440,-77.32698822021484,0.159744
1994628.875,2299804.75,1622016,-72.35527801513672,0.1622016
1997070.25,2294922.0,1630208,-72.84781646728516,0.1630208
993652.375,2290039.25,1646592,-72.18331146240234,0.1646592
998535.25,2280273.5,1654784,-72.8922348022461,0.1654784
0.0,2294922.0,1671168,-75.65860748291016,0.1671168
1000976.625,2285156.25,1687552,-72.270263671875,0.1687552
-2441.4375,2290039.0,1720320,-72.36920928955078,0.172032
996093.75,2304687.5,1744896,-76.48780822753906,0.1744896
2441.4375,2290039.0,1785856,-72.01171112060547,0.1785856
2001953.125,2294921.75,1810432,-72.85587310791016,0.1810432
1992187.5,2285156.0,1826816,-77.1582260131836,0.1826816
2001953.125,2285156.25,1835008,-74.68173217773438,0.1835008
-2441.4375,2290039.0,1851392,-75.4883041381836,0.1851392
1000976.5,2304687.5,1875968,-72.3119125366211,0.1875968
2009277.375,2309570.25,1908736,-74.80500030517578,0.1908736
1994628.875,2280273.25,1933312,-72.92185974121094,0.1933312
0.0,2285156.25,1974272,-72.80193328857422,0.1974272
996093.75,2294922.0,1990656,-79.16655731201172,0.1990656
1005859.375,2294921.75,2039808,-72.60563659667969,0.2039808
