center_hz,width_hz,sample_pos,level_db,time_sec
-65918.0,8198242.0,0,-81.44305419921875,0.0
-915527.25,6391601.5,1024,-70.60192108154297,0.0001024
2370605.5,14648.5,1024,-86.3831558227539,0.0001024
-65918.0,8198242.0,2048,-81.47087097167969,0.0002048
-915527.25,6391601.5,3072,-70.67161560058594,0.0003072
2368164.0,19531.25,3072,-86.37653350830078,0.0003072
-63476.625,8193359.0,4096,-82.74730682373047,0.0004096
-910644.5,6381836.0,5120,-71.87834167480469,0.000512
2365722.5,24414.25,5120,-86.53495788574219,0.000512
-61035.25,8188476.5,6144,-84.49677276611328,0.0006144
-900878.875,6372070.0,7168,-74.658447265625,0.0007168
2365722.5,43945.25,7168,-86.82261657714844,0.0007168
4882.875,8076172.0,8192,-94.72272491455078,0.0008192
-21972.625,7856445.0,9216,-83.71931457519531,0.0009216
4882.875,8076172.0,10240,-94.60442352294922,0.001024
-24414.125,7900391.0,11264,-83.79339599609375,0.0011264
0.0,8066406.0,12288,-94.50244140625,0.0012288
-148925.75,7631836.0,13312,-83.4078369140625,0.0013312
3811035.0,258789.25,13312,-94.80281829833984,0.0013312
9765.625,8076172.0,14336,-94.6301040649414,0.0014336
-2441.375,7895508.0,15360,-83.76245880126953,0.001536
2441.375,8081055.0,16384,-94.55338287353516,0.0016384
0.0,7910156.0,17408,-83.96985626220703,0.0017408
0.0,8076172.0,18432,-94.53511047363281,0.0018432
14648.5,7939453.0,19456,-84.01438903808594,0.0019456
2441.375,8081055.0,20480,-94.55323791503906,0.002048
17089.875,7944336.0,21504,-84.04298400878906,0.0021504
-7324.25,8061523.5,22528,-94.56227111816406,0.0022528
14648.5,7939453.0,23552,-84.05826568603516,0.0023552
4882.875,8066406.0,24576,-94.66510009765625,0.0024576
-2441.375,7856445.0,25600,-86.13111877441406,0.00256
7324.25,8061523.5,26624,-94.74736022949219,0.0026624
-9765.75,7851562.5,27648,-86.09612274169922,0.0027648
2441.5,8071289.0,28672,-94.80665588378906,0.0028672
-9765.625,7841797.0,29696,-86.09135437011719,0.0029696
2441.5,8071289.0,30720,-94.66980743408203,0.003072
-9765.75,7851562.5,31744,-86.14661407470703,0.0031744
0.0,8076172.0,32768,-94.67179870605469,0.0032768
-3913574.25,43945.5,33792,-93.87496948242188,0.0033792
-3554687.5,634765.5,33792,-92.73749542236328,0.0033792
-70800.75,6284179.5,33792,-82.84536743164062,0.0033792
3249511.75,268554.5,33792,-92.92350769042969,0.0033792
3442383.0,97656.25,33792,-93.51306915283203,0.0033792
3588867.0,136718.75,33792,-93.50016021728516,0.0033792
3708496.0,43945.25,33792,-94.1162109375,0.0033792
3857421.75,39062.5,33792,-94.09983825683594,0.0033792
-4882.75,8085937.5,34816,-94.66969299316406,0.0034816
-3933105.5,43945.25,35840,-94.02476501464844,0.003584
-251464.875,7260742.0,35840,-84.21078491210938,0.003584
3513183.5,161132.75,35840,-93.50919342041016,0.003584
3671875.0,78125.0,35840,-94.00418090820312,0.003584
3732910.25,14648.5,35840,-94.32080078125,0.003584
0.0,8085937.5,36864,-94.60942077636719,0.0036864
-3850097.75,219726.5,37888,-93.0824203491211,0.0037888
-3693847.5,53710.75,37888,-93.6045913696289,0.0037888
-126953.125,7001953.0,37888,-83.81616973876953,0.0037888
3505859.5,136718.75,37888,-93.37098693847656,0.0037888
3666992.25,68359.5,37888,-93.57581329345703,0.0037888
3742675.75,14648.5,37888,-94.23736572265625,0.0037888
3837890.5,19531.25,37888,-94.12963104248047,0.0037888
-4882.875,8095703.0,38912,-94.62446594238281,0.0038912
-3813476.5,292968.75,39936,-93.23088836669922,0.0039936
-322265.75,6601562.5,39936,-83.241943359375,0.0039936
3295898.5,546875.0,39936,-92.91983795166016,0.0039936
3664551.0,83007.75,39936,-93.18634033203125,0.0039936
3818359.5,78125.0,39936,-93.43096923828125,0.0039936
-7324.25,8090820.5,40960,-94.52056884765625,0.004096
